DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
COMSTOCK ISD,15,206,0.0,43.7,53.9,0.5,1.0,0.0,1.0,26.2,8.7,2,1,0,90,0,2,17,111,53
RANCH ACADEMY,7,114,9.6,7.9,77.2,0.9,1.8,0.9,1.8,57.9,36.8,2,1,1,9,10,2,41,88,66
CANTON ISD,10,2060,2.0,10.7,83.0,1.1,0.6,0.1,2.4,36.8,7.6,12,22,2,220,41,49,156,1709,758
EDGEWOOD ISD,7,915,4.7,10.1,80.4,0.5,0.2,0.0,4.0,46.8,12.2,1,4,0,92,43,36,111,735,428
GRAND SALINE ISD,7,1100,0.6,26.5,70.2,0.6,0.5,0.0,1.5,62.9,8.9,5,6,0,291,6,16,97,772,691
MARTINS MILL ISD,7,513,1.9,19.9,76.0,0.4,0.2,0.2,1.4,47.8,9.7,1,2,1,102,9,7,49,389,245
VAN ISD,7,2333,2.9,19.0,74.3,0.9,0.3,0.1,2.4,52.7,10.3,6,20,2,443,67,55,240,1733,1229
WILLS POINT ISD,10,2429,5.1,22.1,68.3,0.9,0.3,0.1,3.3,63.5,9.7,7,21,2,536,123,80,235,1659,1542
FRUITVALE ISD,7,392,1.0,9.9,82.4,0.3,0.5,0.0,5.9,61.2,12.2,1,1,0,38,3,23,47,323,239
BLOOMINGTON ISD,3,918,4.7,84.6,8.7,0.1,0.0,0.0,1.9,83.2,10.1,0,0,0,776,43,17,92,79,763
VICTORIA ISD,3,14411,7.3,64.4,25.8,0.2,0.9,0.0,1.3,62.5,8.9,129,28,0,9280,1052,187,1282,3718,9006
NURSERY ISD,3,118,5.9,47.5,44.1,0.0,0.0,0.0,2.5,44.9,10.2,0,0,0,56,6,2,12,52,52
RAVEN SCHOOL,6,72,27.8,36.1,33.3,0.0,0.0,0.0,2.8,100.0,16.7,0,0,0,25,20,2,12,23,72
NEW WAVERLY ISD,6,964,19.2,14.0,61.2,0.8,0.0,0.0,4.8,52.7,10.4,0,7,0,134,185,46,100,589,508
HUNTSVILLE ISD,6,6433,25.3,32.2,39.0,0.3,0.9,0.1,2.2,58.7,8.9,57,19,6,2071,1627,141,572,2508,3776
HEMPSTEAD ISD,4,1483,25.7,57.2,15.2,0.1,0.5,0.0,1.3,70.6,7.4,7,1,0,848,381,19,109,225,1046
WALLER ISD,4,6234,11.0,50.9,35.0,0.4,0.4,0.1,2.2,63.9,5.8,24,24,6,3173,685,137,361,2181,3983
ROYAL ISD,4,2200,17.1,70.7,10.0,0.2,0.1,0.0,1.8,80.0,8.8,2,4,0,1555,376,39,193,220,1760
MONAHANS-WICKETT-PYOTE ISD,18,2263,4.2,59.3,34.8,0.4,0.6,0.0,0.7,48.0,9.2,13,9,0,1341,95,15,208,787,1086
GRANDFALLS-ROYALTY ISD,18,143,2.8,69.2,27.3,0.0,0.0,0.0,0.7,69.2,9.1,0,0,0,98,4,1,13,39,98
BRENHAM ISD,6,4866,21.9,33.1,41.5,0.1,1.6,0.1,1.7,54.4,11.5,77,4,4,1610,1065,82,559,2019,2647
BURTON ISD,6,387,16.8,19.4,62.5,0.3,0.0,0.0,1.0,55.0,12.1,0,1,0,75,65,3,46,241,212
GATEWAY ACADEMY CHARTER DISTRICT,1,347,0.6,99.1,0.3,0.0,0.0,0.0,0.0,93.4,10.4,0,0,0,343,2,0,36,1,324
LAREDO ISD,1,24659,0.1,98.9,0.8,0.0,0.1,0.0,0.1,91.7,7.9,24,0,0,24387,24,24,1948,197,22612
UNITED ISD,1,43297,0.1,98.7,0.8,0.0,0.3,0.0,0.0,76.7,7.4,129,0,0,42734,43,0,3203,346,33208
WEBB CISD,1,323,0.0,92.3,7.7,0.0,0.0,0.0,0.0,62.5,8.0,0,0,0,298,0,0,25,24,201
BOLING ISD,3,1114,9.7,53.1,35.5,0.1,0.4,0.0,1.3,51.1,7.5,4,1,0,591,108,14,83,395,569
EAST BERNARD ISD,3,974,5.6,29.6,63.9,0.0,0.0,0.0,0.9,33.3,5.6,0,0,0,288,54,8,54,622,324
EL CAMPO ISD,3,3599,11.4,60.5,26.6,0.1,0.3,0.1,1.0,65.5,8.2,10,3,3,2177,410,35,295,957,2357
WHARTON ISD,3,2200,26.9,56.3,15.1,0.0,0.5,0.0,1.2,80.0,8.2,11,0,0,1238,591,26,180,332,1760
LOUISE ISD,3,474,4.2,55.5,39.0,0.2,0.2,0.0,0.8,60.5,3.8,0,0,0,263,19,3,18,184,286
SHAMROCK ISD,16,444,8.1,27.3,57.4,2.5,0.9,0.0,3.8,48.4,10.1,3,11,0,121,35,16,44,254,214
WHEELER ISD,16,486,0.0,61.1,36.8,0.8,0.0,0.0,1.2,44.9,10.7,0,3,0,296,0,5,52,178,218
KELTON ISD,16,120,0.0,32.5,63.3,0.0,0.0,0.0,4.2,43.3,8.3,0,0,0,39,0,5,9,75,51
FORT ELLIOTT CISD,16,167,0.0,8.4,86.8,1.2,0.0,0.0,3.6,16.2,12.6,0,2,0,14,0,6,21,144,27
BRIGHT IDEAS CHARTER,9,115,2.6,24.3,67.8,0.0,1.7,0.0,3.5,52.2,11.3,1,0,0,27,2,4,12,77,60
BURKBURNETT ISD,9,3354,6.6,15.1,70.5,0.7,1.2,0.5,5.4,48.1,9.9,40,23,16,506,221,181,332,2364,1613
ELECTRA ISD,9,409,9.3,14.9,69.4,0.5,0.7,0.0,5.1,68.2,11.0,2,2,0,60,38,20,44,283,278
IOWA PARK CISD,9,1710,0.5,8.5,86.6,1.4,0.6,0.2,2.2,42.5,10.7,10,23,3,145,8,37,182,1480,726
WICHITA FALLS ISD,9,14081,14.4,33.9,43.8,1.0,2.4,0.1,4.3,68.0,12.3,337,140,14,4773,2027,605,1731,6167,9575
CITY VIEW ISD,9,1042,9.1,27.4,56.1,1.1,1.3,0.0,5.0,61.1,12.7,13,11,0,285,94,52,132,584,636
HARROLD ISD,9,117,0.9,40.2,53.8,0.9,1.7,0.0,2.6,55.6,15.4,1,1,0,47,1,3,18,62,65
VERNON ISD,9,2134,9.9,41.2,42.2,0.6,2.7,0.1,3.2,60.8,10.9,57,12,2,879,211,68,232,900,1297
NORTHSIDE ISD,9,201,3.5,26.9,67.7,0.0,1.0,0.0,1.0,41.8,10.0,2,0,0,54,7,2,20,136,84
LASARA ISD,1,475,0.0,97.3,1.5,0.6,0.2,0.4,0.0,73.7,5.3,0,2,1,462,0,0,25,7,350
LYFORD CISD,1,1552,0.1,97.3,2.4,0.0,0.1,0.0,0.1,79.3,7.6,1,0,0,1510,1,1,117,37,1230
RAYMONDVILLE ISD,1,2107,0.2,99.0,0.8,0.0,0.1,0.0,0.0,88.1,6.7,2,0,0,2085,4,0,141,16,1856
SAN PERLITA ISD,1,281,0.4,89.3,10.0,0.4,0.0,0.0,0.0,68.7,8.5,0,1,0,250,1,0,23,28,193
MERIDIAN WORLD SCHOOL LLC,13,1064,5.0,20.5,51.1,0.4,19.0,0.5,3.6,6.4,4.4,202,4,5,218,53,38,46,543,68
FLORENCE ISD,13,995,1.9,43.5,51.2,0.5,0.3,0.3,2.3,61.4,9.9,2,4,2,432,18,22,98,509,610
GEORGETOWN ISD,13,10625,3.6,41.8,50.7,0.3,1.1,0.1,2.4,44.2,8.7,116,31,10,4441,382,255,924,5386,4696
GRANGER ISD,13,425,2.1,44.0,51.1,0.2,0.2,0.0,2.4,58.6,8.5,0,0,0,187,8,10,36,217,249
HUTTO ISD,13,6177,12.2,41.8,39.8,0.2,1.0,0.2,4.7,45.6,9.2,61,12,12,2581,753,290,568,2458,2816
JARRELL ISD,13,1263,3.8,45.9,45.2,0.0,0.8,0.2,4.0,58.4,8.5,10,0,2,579,47,50,107,570,737
LIBERTY HILL ISD,13,3210,0.9,18.7,77.6,0.2,0.3,0.2,2.0,24.9,8.0,9,6,6,600,28,64,256,2490,799
ROUND ROCK ISD,13,47098,8.6,30.3,42.7,0.4,13.5,0.2,4.3,26.8,8.5,6358,188,94,14270,4050,2025,4003,20110,12622
TAYLOR ISD,13,3206,10.3,60.8,25.9,0.2,0.5,0.1,2.2,70.2,11.0,16,6,3,1949,330,70,352,830,2250
THRALL ISD,13,654,2.4,28.1,65.9,0.5,0.2,0.2,2.8,32.7,9.2,1,3,1,183,15,18,60,430,213
LEANDER ISD,13,36105,3.8,24.2,61.8,0.3,5.9,0.2,3.9,19.7,9.7,2130,108,72,8737,1371,1408,3502,22312,7112
COUPLAND ISD,13,142,0.7,27.5,64.1,2.1,0.7,0.0,4.9,33.8,4.9,0,2,0,39,0,6,6,91,47
FLORESVILLE ISD,20,3935,1.3,65.1,31.6,0.4,0.3,0.0,1.3,51.1,10.6,11,15,0,2561,51,51,417,1243,2010
LA VERNIA ISD,20,3181,0.9,27.3,69.4,0.5,0.1,0.0,1.8,23.6,9.0,3,15,0,868,28,57,286,2207,750
POTH ISD,20,823,0.5,45.9,52.7,0.2,0.1,0.0,0.5,36.8,7.5,0,1,0,377,4,4,61,433,302
STOCKDALE ISD,20,832,0.8,46.9,51.0,0.1,0.1,0.0,1.1,51.3,14.9,0,0,0,390,6,9,123,424,426
KERMIT ISD,18,1451,1.9,77.4,19.3,0.2,0.5,0.0,0.7,65.1,8.8,7,2,0,1123,27,10,127,280,944
WINK-LOVING ISD,18,407,2.5,35.4,60.7,0.5,0.0,0.0,1.0,39.1,7.4,0,2,0,144,10,4,30,247,159
ALVORD ISD,11,692,0.6,14.5,83.7,0.1,0.0,0.0,1.2,32.1,9.0,0,0,0,100,4,8,62,579,222
BOYD ISD,11,1153,0.9,14.3,80.3,1.2,0.3,0.1,2.9,46.5,6.9,3,13,1,164,10,33,79,925,536
BRIDGEPORT ISD,11,2080,0.7,50.1,46.6,0.6,0.3,0.0,1.6,56.3,8.7,6,12,0,1042,14,33,180,969,1171
CHICO ISD,11,604,1.0,23.8,72.0,1.0,0.0,0.0,2.2,57.8,8.4,0,6,0,143,6,13,50,434,349
DECATUR ISD,11,2999,1.3,33.6,62.3,0.6,0.8,0.1,1.3,44.4,9.3,23,17,2,1007,38,38,278,1868,1331
PARADISE ISD,11,1127,0.5,11.9,85.7,0.4,0.2,0.0,1.2,29.3,10.6,2,4,0,134,5,13,119,965,330
SLIDELL ISD,11,249,0.8,26.9,71.5,0.8,0.0,0.0,0.0,48.6,7.2,0,1,0,66,1,0,17,178,121
HAWKINS ISD,7,736,10.5,4.8,80.2,0.3,0.0,0.5,3.8,58.6,10.1,0,2,3,35,77,27,74,590,431
MINEOLA ISD,7,1587,7.2,28.6,59.2,0.4,1.3,0.1,3.3,57.0,6.4,20,6,1,453,114,52,101,939,904
QUITMAN ISD,7,1098,2.4,16.9,76.6,0.5,0.2,0.2,3.2,52.8,10.1,2,5,2,185,26,35,110,841,579
YANTIS ISD,7,349,0.9,23.8,71.9,0.3,0.0,0.0,3.2,58.5,4.6,0,1,0,83,3,11,16,250,204
ALBA-GOLDEN ISD,7,853,0.4,11.5,86.3,0.2,0.6,0.0,1.1,50.5,8.6,5,1,0,98,3,9,73,736,430
WINNSBORO ISD,7,1448,1.7,14.2,79.4,0.4,1.3,0.1,2.9,52.5,7.6,18,5,1,205,24,41,110,1149,760
DENVER CITY ISD,17,1754,0.9,79.7,18.1,0.2,0.4,0.1,0.7,48.5,5.5,7,3,1,1397,15,12,96,317,850
PLAINS ISD,17,454,0.0,65.2,34.8,0.0,0.0,0.0,0.0,63.4,6.8,0,0,0,296,0,0,30,157,287
GRAHAM ISD,9,2494,1.1,30.5,66.0,0.7,0.4,0.1,1.2,54.3,9.8,9,17,2,760,27,29,244,1646,1354
NEWCASTLE ISD,9,210,0.0,10.0,88.1,0.0,0.0,0.5,1.4,53.8,11.0,0,0,1,21,0,2,23,185,112
OLNEY ISD,9,725,2.2,36.6,56.7,0.4,0.3,0.0,3.9,62.2,13.9,2,2,0,265,15,28,100,411,450
ZAPATA COUNTY ISD,1,3677,0.0,99.0,0.9,0.0,0.1,0.0,0.0,79.2,7.0,3,0,0,3640,0,0,257,33,2912
CRYSTAL CITY ISD,20,2011,0.4,97.8,1.3,0.0,0.2,0.0,0.2,71.1,8.5,4,0,0,1966,8,4,170,26,1429
LA PRYOR ISD,20,483,0.2,94.0,5.6,0.0,0.0,0.0,0.2,87.8,10.4,0,0,0,454,0,0,50,27,424
